id,Tip restavracije
170,Burgers
171,Breakfast & Brunch
171,Diners
171,Desserts
172,American (New)
172,Breakfast & Brunch
173,American (New)
173,Bars
173,Music Venues
174,Mexican
174,Lounges
175,Sandwiches
175,Vietnamese
176,Diners
176,American (Traditional)
177,Breweries
177,American (New)
178,Latin American
178,Caribbean
178,Sandwiches
179,Cafes
179,New Mexican Cuisine
180,Wineries
180,Wine Bars
180,French
181,Pizza
181,Sandwiches
181,Italian
182,American (New)
182,Cafes
183,Japanese
184,American (Traditional)
184,Steakhouses
184,Burgers
185,Italian
186,Mexican
187,Italian
187,Pizza
187,Bars
188,Mexican
188,Latin American
188,Brazilian
189,Ramen
190,New Mexican Cuisine
191,Vietnamese
192,American (Traditional)
192,Comfort Food
193,Mexican
193,Latin American
194,Steakhouses
194,Wine Bars
194,Mexican
195,Pizza
196,American (New)
197,Mexican
198,Mexican
198,Bars
199,Hot Dogs
200,Seafood
200,Steakhouses
200,Desserts
201,American (Traditional)
201,Tacos
201,Sandwiches
202,Seafood
202,Wine Bars
202,Beer Bar
203,American (Traditional)
204,Vietnamese
205,Seafood
205,Steakhouses
206,Sushi Bars
206,Japanese
207,American (New)
207,Italian
207,Pizza
208,American (New)
208,Lounges
209,Pizza
209,Desserts
209,Salad
210,Seafood
210,American (Traditional)
210,Bars
211,Mexican
211,Salvadoran
211,Tex-Mex
212,American (New)
212,Breakfast & Brunch
213,Cheese Shops
213,Sandwiches
213,Wine Bars
214,Japanese
214,Asian Fusion
214,Sushi Bars
215,American (New)
216,Sushi Bars
216,Japanese
216,Thai
217,Barbeque
217,American (New)
217,Salad
218,American (New)
218,Breakfast & Brunch
219,Greek
219,Mediterranean
220,Seafood
220,American (New)
221,Creperies
221,French
221,Breakfast & Brunch
222,Southern
222,Sports Bars
223,Thai
224,Mexican
224,Bakeries
224,Desserts
225,Lounges
225,American (New)
225,Cocktail Bars
226,American (New)
226,Breakfast & Brunch
226,Belgian
227,Indian
227,Desserts
228,Breakfast & Brunch
228,Seafood
228,Steakhouses
229,Pubs
229,American (New)
229,Burgers
230,Burgers
231,American (Traditional)
231,Breakfast & Brunch
231,Seafood
232,Middle Eastern
232,Mediterranean
233,Mediterranean
233,Pizza
233,Bars
234,Mexican
235,Mexican
235,Gluten-Free
235,Cocktail Bars
236,Barbeque
237,Hot Dogs
237,American (Traditional)
238,French
239,Pizza
239,Bars
240,American (Traditional)
240,Breakfast & Brunch
240,Gluten-Free
241,Japanese
241,Sushi Bars
242,Belgian
242,Breakfast & Brunch
242,Gastropubs
243,Chinese
244,Vietnamese
244,Asian Fusion
245,American (Traditional)
245,Bars
245,Seafood
246,American (Traditional)
247,Indian
247,Himalayan/Nepalese
248,Italian
249,Cajun/Creole
249,American (New)
250,Steakhouses
250,Burgers
250,American (Traditional)
251,Pizza
251,Hainan
252,Chinese
252,Seafood
253,Vietnamese
253,Delis
253,Noodles
254,Burgers
254,American (New)
254,Fast Food
255,Korean
255,Barbeque
255,Asian Fusion
256,Noodles
257,Chinese
258,Asian Fusion
258,Chinese
258,Organic Stores
259,Barbeque
260,Pubs
260,American (New)
261,Noodles
262,Sandwiches
262,Vietnamese
262,Coffee & Tea
263,Chinese
263,Asian Fusion
264,Chinese
264,Asian Fusion
265,Chicken Wings
265,Burgers
265,Pizza
266,Seafood
267,American (New)
267,French
267,Breakfast & Brunch
268,Ramen
269,Ramen
269,Noodles
270,Japanese
270,Asian Fusion
270,Chicken Shop
271,Asian Fusion
271,Korean
271,Mexican
272,Chinese
272,American (New)
273,Dim Sum
273,Cantonese
274,Sushi Bars
274,Japanese
275,Hot Dogs
275,Burgers
276,Hawaiian
276,Breakfast & Brunch
277,Chinese
278,Chinese
278,Diners
278,Hong Kong Style Cafe
279,Japanese
279,Sushi Bars
280,Korean
281,Chinese
281,Asian Fusion
282,Ramen
282,Noodles
283,Vietnamese
283,Sandwiches
284,Burgers
284,American (Traditional)
284,Fast Food
285,Chinese
286,American (Traditional)
287,Tea Rooms
287,Cafes
287,Taiwanese
288,Chinese
288,Taiwanese
289,Middle Eastern
289,Buffets
290,Hot Pot
290,Szechuan
291,Cafes
291,Sandwiches
292,Szechuan
293,Seafood
293,Dim Sum
293,Cantonese
294,Taiwanese
294,Chinese
295,Chinese
295,Noodles
295,Hot Pot
296,Chinese
297,Thai
298,Dim Sum
298,Cantonese
299,Ramen
300,Hawaiian
300,Bars
300,Sandwiches
301,American (Traditional)
301,Beer Bar
301,Steakhouses
302,Pubs
302,American (New)
302,Breakfast & Brunch
303,Thai
304,Korean
304,Chicken Wings
304,Asian Fusion
305,Sushi Bars
305,Japanese
305,Asian Fusion
306,Gluten-Free
306,Tacos
307,Thai
308,Vietnamese
309,Japanese
309,Chinese
309,Asian Fusion
310,Indian
311,Ramen
311,Noodles
312,Chinese
312,Vietnamese
312,Vegan
313,Sushi Bars
313,Japanese
314,Italian
314,Desserts
314,Salad
315,Korean
316,Diners
316,Breakfast & Brunch
316,Sandwiches
317,Mexican
318,Taiwanese
318,Chinese
319,Middle Eastern
